Carrier,Departure Time,Destination,Distance,Date,Flight Number,Origin,Day of the Week,Day of the Month,Flight delay,Random
RU,7,EWR,213,1/28/2004,2497,IAD,3,28,0,0.872865459
RU,6,EWR,213,1/16/2004,2855,IAD,5,16,0,0.713352439
RU,10,EWR,169,01-01-2004,2303,BWI,4,1,0,0.454167891
RU,15,EWR,213,1/19/2004,2692,IAD,1,19,0,0.376196334
US,19,LGA,214,1/18/2004,2170,DCA,7,18,0,0.476015479
DH,13,EWR,213,1/29/2004,7307,IAD,4,29,0,0.758572572
MQ,15,LGA,214,01-07-2004,4956,DCA,3,7,0,0.235227402
DL,19,LGA,214,01-11-2004,1766,DCA,7,11,0,0.092650464
DL,13,LGA,214,1/19/2004,1758,DCA,1,19,0,0.920359883
DL,17,LGA,214,1/16/2004,1744,DCA,5,16,1,0.068166967
RU,19,EWR,213,1/19/2004,2497,IAD,1,19,0,0.422915438
US,9,LGA,214,01-09-2004,2176,DCA,5,9,0,0.340036815
DH,17,LGA,229,1/31/2004,7684,IAD,6,31,0,0.889741991
OH,4,JFK,184,1/15/2004,5935,BWI,4,15,0,0.243004498
RU,4,EWR,169,01-03-2004,2267,BWI,6,3,0,0.662345458
MQ,4,LGA,214,01-11-2004,4976,DCA,7,11,0,0.124055506
US,16,LGA,214,01-06-2004,2166,DCA,2,6,0,0.339931911
DH,22,LGA,229,01-04-2004,7211,IAD,7,4,1,0.389276023
CO,23,EWR,199,01-05-2004,814,DCA,1,5,1,0.504696695
DL,16,LGA,214,1/24/2004,1752,DCA,6,24,0,0.814961184
MQ,0,LGA,214,1/29/2004,4954,DCA,4,29,0,0.754783364
RU,7,EWR,169,01-08-2004,2703,BWI,4,8,0,0.941025668
DL,10,LGA,214,01-10-2004,1760,DCA,6,10,0,0.758672357
RU,10,EWR,213,1/13/2004,2385,IAD,2,13,1,0.807602603
US,7,LGA,214,1/28/2004,2164,DCA,3,28,1,0.919618139
DL,19,LGA,214,1/21/2004,1768,DCA,3,21,0,0.750510363
RU,19,EWR,169,1/17/2004,2303,BWI,6,17,0,0.037105844
DH,1,JFK,228,01-06-2004,7810,IAD,2,6,0,0.894373675
CO,6,EWR,199,1/29/2004,806,DCA,4,29,0,0.012861527
US,15,LGA,214,1/26/2004,2178,DCA,1,26,0,0.139603335
MQ,14,LGA,214,1/16/2004,4970,DCA,5,16,1,0.122000949
RU,15,EWR,213,1/18/2004,2254,IAD,7,18,0,0.802798394
RU,21,EWR,199,1/14/2004,2761,DCA,3,14,0,0.188750089
US,11,LGA,214,1/28/2004,2176,DCA,3,28,1,0.897270778
DH,14,JFK,228,1/25/2004,7814,IAD,7,25,1,0.361285008
DH,6,JFK,228,1/24/2004,7800,IAD,6,24,0,0.741775881
MQ,18,LGA,214,1/20/2004,4970,DCA,2,20,0,0.331051667
DH,22,LGA,229,01-11-2004,7211,IAD,7,11,0,0.935992467
DL,8,LGA,214,01-10-2004,1752,DCA,6,10,0,0.756409441
DL,6,LGA,214,01-05-2004,1750,DCA,1,5,0,0.298967542
MQ,4,LGA,214,01-12-2004,4964,DCA,1,12,0,0.43439694
DH,12,JFK,228,01-02-2004,7810,IAD,5,2,0,0.198330072
DL,7,LGA,214,1/14/2004,1740,DCA,3,14,0,0.933377288
DH,19,JFK,228,1/31/2004,7806,IAD,6,31,0,0.954904076
MQ,23,JFK,213,01-12-2004,4784,DCA,1,12,0,0.526040248
DL,14,LGA,214,1/21/2004,1758,DCA,3,21,0,0.277058313
DH,19,LGA,229,1/19/2004,7208,IAD,1,19,0,0.125683396
RU,5,EWR,199,01-02-2004,2582,DCA,5,2,0,0.789009609
DH,1,EWR,213,01-02-2004,7307,IAD,5,2,1,0.787698027
DL,20,LGA,214,1/26/2004,1758,DCA,1,26,1,0.533460618
DL,18,LGA,214,1/15/2004,1742,DCA,4,15,1,0.695077696
DH,5,LGA,229,1/16/2004,7684,IAD,5,16,0,0.610159961
RU,17,EWR,213,1/27/2004,2855,IAD,2,27,1,0.598689055
US,6,LGA,214,01-01-2004,2180,DCA,4,1,0,0.208158666
MQ,2,LGA,214,1/14/2004,4954,DCA,3,14,0,0.544902269
CO,9,EWR,199,1/27/2004,814,DCA,2,27,1,0.245488882
DH,8,LGA,229,01-07-2004,7211,IAD,3,7,0,0.12360895
RU,15,EWR,199,01-10-2004,2761,DCA,6,10,0,0.77189738
US,13,LGA,214,01-08-2004,2160,DCA,4,8,0,0.605209532
DH,1,JFK,228,1/14/2004,7808,IAD,3,14,0,0.103374182
CO,15,EWR,199,1/16/2004,814,DCA,5,16,1,0.394059217
MQ,22,JFK,213,1/29/2004,4784,DCA,4,29,0,0.289294255
DH,15,EWR,213,01-08-2004,7304,IAD,4,8,0,0.425633768
MQ,1,LGA,214,1/28/2004,4972,DCA,3,28,1,0.232200505
DH,12,LGA,229,1/17/2004,7215,IAD,6,17,0,0.04079067
DH,7,JFK,228,01-04-2004,7814,IAD,7,4,0,0.451058451
MQ,15,LGA,214,1/13/2004,4960,DCA,2,13,0,0.239873941
DH,14,JFK,228,01-07-2004,7808,IAD,3,7,0,0.316844692
US,0,LGA,214,1/21/2004,2186,DCA,3,21,0,0.953839453
DH,16,EWR,213,1/24/2004,7302,IAD,6,24,0,0.069154353
RU,5,EWR,213,1/16/2004,2385,IAD,5,16,1,0.73314154
RU,12,EWR,199,1/31/2004,2361,DCA,6,31,0,0.189942364
US,9,LGA,214,01-04-2004,2176,DCA,7,4,0,0.927822228
DH,2,JFK,228,01-11-2004,7806,IAD,7,11,0,0.398760446
DL,0,LGA,214,1/25/2004,1760,DCA,7,25,0,0.232879675
DH,14,EWR,213,1/15/2004,7305,IAD,4,15,0,0.66018025
MQ,21,LGA,214,1/22/2004,4972,DCA,4,22,0,0.512368409
UA,17,LGA,229,01-03-2004,846,IAD,6,3,0,0.123683365
DH,16,JFK,213,1/29/2004,6155,DCA,4,29,0,0.680607493
US,12,LGA,214,1/23/2004,2164,DCA,5,23,0,0.687903737
UA,9,LGA,229,01-12-2004,846,IAD,1,12,0,0.981523429
MQ,1,LGA,214,01-06-2004,4952,DCA,2,6,0,0.580742874
MQ,12,LGA,214,1/13/2004,4952,DCA,2,13,0,0.822594104
DL,12,JFK,213,1/26/2004,746,DCA,1,26,1,0.738304755
DL,17,LGA,214,1/21/2004,1764,DCA,3,21,0,0.723234566
US,16,LGA,214,1/21/2004,2170,DCA,3,21,0,0.100114392
MQ,11,JFK,213,01-07-2004,4760,DCA,3,7,0,0.749105215
MQ,17,LGA,214,01-09-2004,4960,DCA,5,9,1,0.710281072
DL,19,LGA,214,01-06-2004,1764,DCA,2,6,0,0.944202667
DH,5,JFK,228,01-11-2004,7812,IAD,7,11,0,0.373233608
US,13,LGA,214,01-12-2004,2164,DCA,1,12,0,0.445235735
US,16,LGA,214,01-08-2004,2166,DCA,4,8,0,0.415893143
MQ,14,LGA,214,1/18/2004,4976,DCA,7,18,1,0.044277207
RU,20,EWR,213,01-08-2004,2692,IAD,4,8,0,0.158085703
US,12,LGA,214,01-07-2004,2184,DCA,3,7,0,0.239376262
MQ,5,LGA,214,01-02-2004,4966,DCA,5,2,0,0.186965433
DL,14,LGA,214,1/28/2004,1754,DCA,3,28,0,0.940528617
DL,5,LGA,214,1/30/2004,1764,DCA,5,30,0,0.459172767
US,22,LGA,214,1/29/2004,2186,DCA,4,29,0,0.622285513
DL,16,LGA,214,1/26/2004,1750,DCA,1,26,0,0.696167617
RU,22,EWR,199,1/19/2004,2216,DCA,1,19,0,0.477956572
DL,12,LGA,214,01-10-2004,1768,DCA,6,10,0,0.809304663
RU,13,EWR,213,01-05-2004,2156,IAD,1,5,1,0.704567193
DH,4,EWR,213,1/13/2004,7307,IAD,2,13,1,0.405186734
CO,6,EWR,199,1/23/2004,806,DCA,5,23,0,0.01827599
RU,4,EWR,169,1/18/2004,2703,BWI,7,18,1,0.023998407
DH,0,EWR,213,01-02-2004,7303,IAD,5,2,1,0.241037726
DH,6,JFK,213,01-09-2004,6155,DCA,5,9,0,0.495529682
DH,23,JFK,228,1/27/2004,7806,IAD,2,27,1,0.089213758
DL,15,LGA,214,01-11-2004,1758,DCA,7,11,0,0.839353835
RU,4,EWR,169,01-08-2004,3372,BWI,4,8,0,0.508063836
DL,5,LGA,214,1/20/2004,1764,DCA,2,20,0,0.453041006
RU,15,EWR,169,1/20/2004,3372,BWI,2,20,1,0.522057372
DL,4,LGA,214,1/22/2004,1758,DCA,4,22,0,0.867537682
DL,22,LGA,214,1/16/2004,1754,DCA,5,16,0,0.981751475
DH,12,JFK,228,1/15/2004,7810,IAD,4,15,0,0.498189407
DH,1,JFK,228,1/21/2004,7812,IAD,3,21,0,0.369197407
DH,22,LGA,229,1/19/2004,7790,IAD,1,19,1,0.017638842
DH,15,JFK,228,01-07-2004,7810,IAD,3,7,0,0.425456349
DH,19,LGA,229,01-03-2004,7792,IAD,6,3,0,0.014110105
MQ,16,LGA,214,1/30/2004,4968,DCA,5,30,0,0.34384513
DL,5,LGA,214,1/16/2004,1768,DCA,5,16,0,0.18982373
MQ,6,LGA,214,1/21/2004,4970,DCA,3,21,0,0.58506156
RU,3,EWR,199,01-02-2004,2181,DCA,5,2,0,0.970171439
DH,20,JFK,228,1/18/2004,7812,IAD,7,18,1,0.879127401
US,16,LGA,214,1/18/2004,2164,DCA,7,18,0,0.405224568
DL,18,LGA,214,01-08-2004,1760,DCA,4,8,0,0.84357603
DH,12,EWR,213,01-06-2004,7299,IAD,2,6,0,0.836808584
DH,2,EWR,213,01-02-2004,7371,IAD,5,2,0,0.663524474
DH,3,JFK,228,01-12-2004,7812,IAD,1,12,0,0.056095154
DH,9,EWR,213,01-03-2004,7304,IAD,6,3,0,0.247876372
DH,2,EWR,213,01-07-2004,7304,IAD,3,7,0,0.751243812
DH,10,JFK,228,01-02-2004,7806,IAD,5,2,0,0.236799507
DL,0,LGA,214,1/16/2004,1758,DCA,5,16,0,0.379050423
DL,9,LGA,214,1/22/2004,1768,DCA,4,22,0,0.08173662
RU,0,EWR,169,1/19/2004,3372,BWI,1,19,0,0.316299626
US,19,LGA,214,1/16/2004,2160,DCA,5,16,0,0.941352893
CO,8,EWR,199,01-08-2004,814,DCA,4,8,0,0.738034317
DL,2,LGA,214,1/30/2004,1758,DCA,5,30,0,0.390382783
DL,12,LGA,214,01-01-2004,1746,DCA,4,1,0,0.423899783
RU,14,EWR,199,1/26/2004,2261,DCA,1,26,1,0.244383935
US,7,LGA,214,1/27/2004,2180,DCA,2,27,0,0.684480582
DL,6,LGA,214,1/21/2004,1742,DCA,3,21,0,0.550309779
DL,21,LGA,214,01-06-2004,1768,DCA,2,6,0,0.411509124
US,1,LGA,214,01-10-2004,2184,DCA,6,10,0,0.669876983
RU,20,EWR,169,1/28/2004,3372,BWI,3,28,1,0.026748954
DH,21,LGA,229,1/19/2004,7215,IAD,1,19,0,0.499359355
RU,7,EWR,199,1/20/2004,2761,DCA,2,20,0,0.741367609
MQ,21,JFK,213,01-11-2004,4752,DCA,7,11,0,0.24820058
DH,18,LGA,229,1/27/2004,7211,IAD,2,27,1,0.548837727
DH,10,EWR,213,01-12-2004,7299,IAD,1,12,0,0.398165929
MQ,20,JFK,213,1/21/2004,4752,DCA,3,21,0,0.411506119
DH,10,LGA,229,01-09-2004,7684,IAD,5,9,0,0.656741498
MQ,5,LGA,214,1/26/2004,4964,DCA,1,26,1,0.633872269
UA,14,LGA,229,1/31/2004,846,IAD,6,31,0,0.295213154
DH,12,EWR,213,1/25/2004,7304,IAD,7,25,1,0.772923794
RU,2,EWR,199,1/21/2004,2582,DCA,3,21,0,0.49685689
DL,5,LGA,214,01-03-2004,1744,DCA,6,3,0,0.550926483
RU,0,EWR,213,01-08-2004,2855,IAD,4,8,0,0.823708613
MQ,0,LGA,214,1/21/2004,4954,DCA,3,21,0,0.085352449
RU,6,EWR,199,1/22/2004,2216,DCA,4,22,0,0.529215283
RU,19,EWR,169,1/28/2004,2303,BWI,3,28,0,0.230885988
DL,15,LGA,214,1/16/2004,1740,DCA,5,16,0,0.059907383
MQ,4,LGA,214,1/14/2004,4960,DCA,3,14,1,0.635088724
DH,16,LGA,229,01-02-2004,7924,IAD,5,2,0,0.978874232
UA,1,LGA,229,01-01-2004,846,IAD,4,1,0,0.67540825
DH,2,JFK,228,1/19/2004,7808,IAD,1,19,0,0.698118005
DH,7,LGA,229,1/30/2004,7790,IAD,5,30,0,0.621437088
DL,13,LGA,214,1/24/2004,1742,DCA,6,24,0,0.988958175
MQ,15,LGA,214,01-03-2004,4956,DCA,6,3,0,0.109794802
US,3,LGA,214,01-09-2004,2162,DCA,5,9,0,0.827939816
DL,13,LGA,214,1/14/2004,1752,DCA,3,14,0,0.937795641
DH,0,LGA,229,01-11-2004,7684,IAD,7,11,0,0.258027201
US,16,LGA,214,1/14/2004,2168,DCA,3,14,0,0.881612159
DH,18,LGA,229,1/21/2004,7684,IAD,3,21,1,0.606064287
MQ,12,LGA,214,1/16/2004,4964,DCA,5,16,1,0.775114298
DH,18,LGA,229,01-08-2004,7208,IAD,4,8,0,0.161781163
US,17,LGA,214,1/14/2004,2170,DCA,3,14,0,0.099976614
US,5,LGA,214,01-09-2004,2168,DCA,5,9,0,0.665222467
CO,19,EWR,199,1/13/2004,806,DCA,2,13,0,0.382413335
CO,7,EWR,199,1/19/2004,816,DCA,1,19,0,0.093397327
MQ,3,LGA,214,1/14/2004,4956,DCA,3,14,0,0.101092515
DH,14,EWR,213,01-01-2004,7299,IAD,4,1,0,0.22911512
DL,9,LGA,214,1/27/2004,1760,DCA,2,27,1,0.032867403
RU,7,EWR,199,1/16/2004,2879,DCA,5,16,0,0.444181921
MQ,23,JFK,213,01-11-2004,4771,DCA,7,11,0,0.691357941
MQ,1,JFK,213,01-02-2004,4784,DCA,5,2,0,0.300901419
DH,6,JFK,228,01-08-2004,7816,IAD,4,8,0,0.511908552
RU,20,EWR,199,1/15/2004,2261,DCA,4,15,0,0.026663198
CO,7,EWR,199,1/14/2004,808,DCA,3,14,0,0.312059396
US,23,LGA,214,1/15/2004,2176,DCA,4,15,0,0.890542912
DH,5,EWR,213,1/28/2004,7307,IAD,3,28,0,0.954718193
US,3,LGA,214,01-01-2004,2168,DCA,4,1,0,0.538238332
RU,10,EWR,169,1/24/2004,2229,BWI,6,24,0,0.318671775
UA,5,LGA,229,01-11-2004,846,IAD,7,11,0,0.271359987
CO,7,EWR,199,1/18/2004,810,DCA,7,18,1,0.934923638
US,21,LGA,214,1/20/2004,1479,DCA,2,20,0,0.478188479
CO,10,EWR,199,1/14/2004,814,DCA,3,14,1,0.268152471
DH,2,JFK,228,01-04-2004,7800,IAD,7,4,0,0.928937871
DL,10,LGA,214,1/19/2004,1748,DCA,1,19,0,0.017810307
RU,17,EWR,199,1/29/2004,2761,DCA,4,29,0,0.584877483
MQ,15,LGA,214,1/20/2004,4964,DCA,2,20,0,0.426259569
DH,12,EWR,213,1/27/2004,7302,IAD,2,27,1,0.787179676
RU,1,EWR,213,01-12-2004,2855,IAD,1,12,0,0.110304388
US,20,LGA,214,1/25/2004,2178,DCA,7,25,0,0.639278536
RU,18,EWR,199,1/27/2004,2761,DCA,2,27,0,0.550735664
DL,18,LGA,214,1/24/2004,1760,DCA,6,24,0,0.341407031
DL,14,LGA,214,1/26/2004,1746,DCA,1,26,0,0.987225552
CO,7,EWR,199,1/25/2004,1767,DCA,7,25,0,0.794465789
RU,2,EWR,199,1/16/2004,2181,DCA,5,16,1,0.626675572
DL,20,JFK,213,1/17/2004,746,DCA,6,17,1,0.732184924
DL,12,LGA,214,1/14/2004,1750,DCA,3,14,1,0.417863312
MQ,19,LGA,214,01-09-2004,4966,DCA,5,9,0,0.400490734
MQ,19,LGA,214,01-05-2004,4956,DCA,1,5,0,0.530842722
DL,16,LGA,214,01-08-2004,1756,DCA,4,8,0,0.678973175
DH,13,LGA,229,1/18/2004,7211,IAD,7,18,1,0.034113081
MQ,2,LGA,214,01-12-2004,4956,DCA,1,12,0,0.52263359
MQ,6,JFK,213,1/16/2004,4752,DCA,5,16,0,0.726252388
DL,16,JFK,213,1/20/2004,746,DCA,2,20,1,0.446071133
US,15,LGA,214,01-05-2004,2184,DCA,1,5,0,0.095784762
MQ,15,LGA,214,1/30/2004,4966,DCA,5,30,0,0.556507738
RU,1,EWR,213,1/21/2004,2367,IAD,3,21,0,0.616283043
DH,23,LGA,229,01-04-2004,7215,IAD,7,4,1,0.24411483
DH,11,EWR,213,1/18/2004,7303,IAD,7,18,1,0.312641135
MQ,23,JFK,213,01-08-2004,4752,DCA,4,8,0,0.464007378
DH,2,JFK,228,01-03-2004,7816,IAD,6,3,0,0.037513748
RU,3,EWR,169,1/29/2004,2403,BWI,4,29,0,0.614640482
MQ,23,LGA,214,01-04-2004,4968,DCA,7,4,1,0.836801883
DL,9,LGA,214,01-12-2004,1746,DCA,1,12,1,0.568298203
US,20,LGA,214,1/15/2004,2168,DCA,4,15,0,0.362488404
RU,3,EWR,199,1/30/2004,2879,DCA,5,30,0,0.647280875
DH,20,LGA,229,1/14/2004,7684,IAD,3,14,0,0.009067918
DH,12,JFK,228,1/13/2004,7808,IAD,2,13,0,0.526346757
RU,15,EWR,199,1/13/2004,2879,DCA,2,13,0,0.079116018
DH,7,EWR,213,01-03-2004,7302,IAD,6,3,0,0.317970292
DL,19,LGA,214,01-02-2004,1752,DCA,5,2,0,0.610605849
RU,21,EWR,199,1/21/2004,2261,DCA,3,21,1,0.462302421
RU,6,EWR,213,1/17/2004,2156,IAD,6,17,0,0.195696124
RU,23,EWR,169,1/31/2004,2229,BWI,6,31,0,0.923919166
DL,12,LGA,214,1/28/2004,1746,DCA,3,28,0,0.565568328
DH,21,LGA,229,01-11-2004,7208,IAD,7,11,0,0.163735805
US,17,LGA,214,1/15/2004,1479,DCA,4,15,1,0.321362268
US,23,LGA,214,01-07-2004,1479,DCA,3,7,0,0.968545744
DH,16,EWR,213,01-01-2004,7303,IAD,4,1,0,0.789039698
CO,20,EWR,199,1/20/2004,806,DCA,2,20,0,0.401386601
US,2,LGA,214,01-05-2004,1479,DCA,1,5,1,0.806136786
OH,17,JFK,184,01-10-2004,5935,BWI,6,10,0,0.163413545
RU,3,EWR,169,01-03-2004,2303,BWI,6,3,0,0.34755604
US,1,LGA,214,01-07-2004,2162,DCA,3,7,0,0.530185626
DH,4,EWR,213,01-07-2004,7307,IAD,3,7,0,0.330564025
DH,11,JFK,228,1/16/2004,7812,IAD,5,16,0,0.161170003
DH,11,EWR,213,1/21/2004,7302,IAD,3,21,1,0.22345314
RU,17,EWR,199,01-10-2004,2216,DCA,6,10,0,0.57121832
RU,16,EWR,169,1/20/2004,2703,BWI,2,20,0,0.910180046
RU,23,EWR,213,01-01-2004,2156,IAD,4,1,0,0.800639554
RU,22,EWR,199,1/15/2004,2879,DCA,4,15,1,0.169557881
DL,10,LGA,214,1/27/2004,1764,DCA,2,27,1,0.162149976
RU,17,EWR,199,1/19/2004,2261,DCA,1,19,0,0.722813037
DH,8,EWR,213,01-03-2004,7303,IAD,6,3,1,0.537501839
RU,17,EWR,169,1/17/2004,3372,BWI,6,17,0,0.500592532
DH,4,JFK,228,1/29/2004,7816,IAD,4,29,0,0.886788715
OH,0,JFK,184,01-01-2004,5935,BWI,4,1,0,0.714239469
RU,5,EWR,213,1/13/2004,2367,IAD,2,13,0,0.885662092
MQ,3,LGA,214,01-08-2004,4954,DCA,4,8,0,0.623623756
DL,16,LGA,214,1/28/2004,1762,DCA,3,28,0,0.166030687
CO,21,EWR,199,01-09-2004,816,DCA,5,9,0,0.297411414
RU,5,EWR,199,01-07-2004,2216,DCA,3,7,0,0.858713299
DL,4,JFK,213,1/21/2004,746,DCA,3,21,0,0.283994222
DL,13,LGA,214,01-08-2004,1750,DCA,4,8,0,0.167887035
CO,22,EWR,199,01-07-2004,806,DCA,3,7,0,0.049096524
MQ,0,LGA,214,01-12-2004,4952,DCA,1,12,1,0.062919643
CO,14,EWR,199,1/24/2004,808,DCA,6,24,0,0.451308213
MQ,19,LGA,214,1/22/2004,4968,DCA,4,22,0,0.664480451
RU,14,EWR,199,01-09-2004,2879,DCA,5,9,0,0.328901554
US,17,LGA,214,1/25/2004,2172,DCA,7,25,0,0.340245648
DL,17,LGA,214,1/30/2004,1740,DCA,5,30,0,0.250658634
RU,21,EWR,199,01-01-2004,2336,DCA,4,1,0,0.697487068
DH,18,JFK,213,1/23/2004,6155,DCA,5,23,0,0.036858597
RU,16,EWR,213,1/25/2004,2254,IAD,7,25,0,0.406991821
DH,17,EWR,213,01-01-2004,7304,IAD,4,1,0,0.477755653
US,14,LGA,214,01-05-2004,2182,DCA,1,5,0,0.947928546
DL,5,LGA,214,01-10-2004,1742,DCA,6,10,0,0.644214651
DH,19,LGA,229,01-10-2004,7208,IAD,6,10,0,0.292152629
US,11,LGA,214,1/22/2004,2180,DCA,4,22,0,0.530379854
DH,6,LGA,229,1/22/2004,7211,IAD,4,22,1,0.650984612
DH,6,LGA,229,1/30/2004,7684,IAD,5,30,0,0.254165984
MQ,23,JFK,213,1/24/2004,4784,DCA,6,24,0,0.799819466
RU,16,EWR,169,1/22/2004,2703,BWI,4,22,0,0.390426696
DH,21,LGA,229,1/27/2004,7792,IAD,2,27,0,0.941193164
RU,10,EWR,213,01-09-2004,2692,IAD,5,9,0,0.112370743
DH,6,JFK,228,01-04-2004,7812,IAD,7,4,0,0.743280298
DL,8,LGA,214,01-12-2004,1744,DCA,1,12,0,0.237156205
DH,18,LGA,229,1/14/2004,7208,IAD,3,14,0,0.166894359
OH,19,JFK,184,01-11-2004,5935,BWI,7,11,0,0.483989292
RU,0,EWR,199,1/23/2004,2216,DCA,5,23,0,0.328446938
CO,13,EWR,199,01-01-2004,814,DCA,4,1,0,0.857958387
MQ,11,LGA,214,1/18/2004,4964,DCA,7,18,1,0.933025445
DH,3,JFK,228,1/19/2004,7810,IAD,1,19,0,0.46338518
DL,18,LGA,214,1/28/2004,1768,DCA,3,28,1,0.402176787
DH,16,JFK,213,1/27/2004,6155,DCA,2,27,1,0.17538676
MQ,1,JFK,213,01-08-2004,4784,DCA,4,8,0,0.272666958
DH,3,EWR,213,01-05-2004,7304,IAD,1,5,1,0.270512463
US,10,LGA,214,01-09-2004,2178,DCA,5,9,0,0.237015639
RU,16,EWR,199,01-10-2004,2097,DCA,6,10,0,0.958498905
CO,21,EWR,199,01-07-2004,814,DCA,3,7,1,0.161997109
RU,3,EWR,199,01-06-2004,2181,DCA,2,6,0,0.156196099
DH,9,EWR,213,1/25/2004,7299,IAD,7,25,0,0.960140928
US,21,LGA,214,1/31/2004,2184,DCA,6,31,0,0.672373646
DL,8,LGA,214,01-08-2004,1740,DCA,4,8,0,0.704187875
US,12,LGA,214,1/17/2004,2168,DCA,6,17,0,0.234936347
MQ,6,LGA,214,1/26/2004,4976,DCA,1,26,1,0.631221219
CO,21,EWR,199,01-04-2004,810,DCA,7,4,1,0.861969596
MQ,14,JFK,213,01-10-2004,4760,DCA,6,10,1,0.814958154
RU,4,EWR,199,1/17/2004,2097,DCA,6,17,0,0.223103393
US,0,LGA,214,1/16/2004,2170,DCA,5,16,0,0.045464881
RU,3,EWR,169,1/25/2004,2303,BWI,7,25,1,0.489994138
MQ,0,JFK,213,01-06-2004,4784,DCA,2,6,0,0.698777975
US,2,LGA,214,01-08-2004,2186,DCA,4,8,1,0.857398223
US,4,LGA,214,1/24/2004,2164,DCA,6,24,0,0.69438731
CO,4,EWR,199,1/23/2004,814,DCA,5,23,0,0.610004557
MQ,5,LGA,214,1/21/2004,4968,DCA,3,21,0,0.886791217
MQ,2,LGA,214,1/23/2004,4956,DCA,5,23,0,0.989955908
DL,14,LGA,214,1/29/2004,1758,DCA,4,29,0,0.252106965
DH,8,LGA,229,1/25/2004,7684,IAD,7,25,1,0.242065838
US,15,LGA,214,1/28/2004,2184,DCA,3,28,0,0.780239376
RU,17,EWR,213,1/25/2004,2385,IAD,7,25,1,0.674715926
MQ,23,LGA,214,1/29/2004,4952,DCA,4,29,1,0.202029723
RU,16,EWR,169,01-07-2004,2403,BWI,3,7,0,0.08957339
DL,22,LGA,214,01-07-2004,1746,DCA,3,7,0,0.293025131
RU,2,EWR,169,1/29/2004,2303,BWI,4,29,0,0.548295281
US,18,LGA,214,1/14/2004,2172,DCA,3,14,0,0.750410081
US,4,LGA,214,1/15/2004,2188,DCA,4,15,1,0.852248096
DL,8,LGA,214,1/29/2004,1744,DCA,4,29,1,0.260354102
DL,13,LGA,214,1/21/2004,1756,DCA,3,21,0,0.4815539
MQ,5,LGA,214,01-06-2004,4964,DCA,2,6,0,0.136393974
RU,13,EWR,213,1/22/2004,2855,IAD,4,22,0,0.598451447
US,7,LGA,214,1/13/2004,2174,DCA,2,13,0,0.848047599
DH,22,EWR,213,1/30/2004,7303,IAD,5,30,1,0.339555503
RU,20,EWR,199,1/25/2004,2216,DCA,7,25,0,0.189258077
DH,17,EWR,213,01-08-2004,7307,IAD,4,8,0,0.83907454
DH,4,JFK,213,1/22/2004,6155,DCA,4,22,0,0.317060482
RU,1,EWR,199,01-01-2004,2181,DCA,4,1,0,0.881973371
RU,2,EWR,199,01-08-2004,2582,DCA,4,8,0,0.319607167
DH,13,JFK,228,01-09-2004,7800,IAD,5,9,1,0.036675397
DH,11,EWR,213,1/15/2004,7299,IAD,4,15,0,0.301055847
DL,20,LGA,214,01-12-2004,1768,DCA,1,12,0,0.270548677
RU,10,EWR,169,1/16/2004,3372,BWI,5,16,1,0.885998554
UA,7,LGA,229,1/19/2004,846,IAD,1,19,0,0.589529
US,1,LGA,214,1/13/2004,2162,DCA,2,13,0,0.16424645
MQ,5,LGA,214,1/29/2004,4972,DCA,4,29,0,0.887518089
RU,18,EWR,169,01-02-2004,2703,BWI,5,2,0,0.323545567
RU,8,EWR,169,01-01-2004,2403,BWI,4,1,0,0.08422129
MQ,20,JFK,213,1/19/2004,4784,DCA,1,19,1,0.892371674
CO,1,EWR,199,01-11-2004,810,DCA,7,11,0,0.057749189
US,1,LGA,214,01-06-2004,2184,DCA,2,6,0,0.950845577
MQ,3,LGA,214,01-12-2004,4960,DCA,1,12,0,0.903943
OH,1,JFK,184,1/20/2004,5935,BWI,2,20,0,0.421628716
DH,6,JFK,213,01-07-2004,6155,DCA,3,7,0,0.074822429
DL,7,LGA,214,1/20/2004,1768,DCA,2,20,0,0.787172691
MQ,11,JFK,213,1/13/2004,4784,DCA,2,13,1,0.142981052
RU,20,EWR,213,1/19/2004,2156,IAD,1,19,0,0.410905769
US,15,LGA,214,01-11-2004,2182,DCA,7,11,0,0.162309909
US,11,LGA,214,1/20/2004,2186,DCA,2,20,0,0.04310514
DL,14,LGA,214,1/14/2004,1754,DCA,3,14,0,0.216847684
US,22,LGA,214,1/20/2004,2160,DCA,2,20,0,0.930248522
RU,20,EWR,213,01-06-2004,2385,IAD,2,6,1,0.40476309
US,18,LGA,214,1/25/2004,2174,DCA,7,25,0,0.198039829
US,1,LGA,214,1/30/2004,2168,DCA,5,30,0,0.115378774
RU,13,EWR,199,1/28/2004,2261,DCA,3,28,0,0.692905705
MQ,20,LGA,214,01-09-2004,4968,DCA,5,9,0,0.196721904
RU,23,EWR,199,1/29/2004,2582,DCA,4,29,0,0.35579381
DH,20,JFK,213,1/28/2004,6155,DCA,3,28,0,0.549301329
MQ,4,LGA,214,1/29/2004,4968,DCA,4,29,1,0.031994884
MQ,11,LGA,214,1/20/2004,4952,DCA,2,20,0,0.675609332
MQ,13,LGA,214,1/31/2004,4964,DCA,6,31,0,0.534983675
US,0,LGA,214,1/27/2004,2166,DCA,2,27,0,0.366693542
US,22,LGA,214,01-03-2004,2176,DCA,6,3,0,0.692965601
